filename,validated,survey,worker,natural,patientslikeme,quality,text,recruitment,health,user,patient,trained,user,symptom,crowd-sourcing,participant,validate,data,performance,microtask,crowd-sourced,non-expert,player,crowd,knowledge,diagnosis,players,self-reported,patient-report,citizens,individuals,patient-reported,crowdsourcing,screen,self,experience,extracted,individual,dictionary,23andme,disease,respondents,posts,posts,virus,people,self-report,extraction,extraction,posted,online,posted,online,crowd-source,diseases,medical,users,users,participants,annotate,posting,posting,citizen,crowdsource,turk,image,reliability,query,diagnose,validation,combine,flu,annotated,experienced,extracts,amazon,crowdsourced,workers,gold,recruit,train,extracting,post,post,turkers,extract,extract,numWord
crowdsourcing for natural disaster response an evaluation.pdf.txt,0,4,0,3,4,0,1,0,191,0,0,0,0,2,0,0,0,0,4,0,1,0,0,5,0,0,0,0,0,0,1,0,48,0,0,4,0,0,0,0,17,0,0,0,0,2,0,0,0,0,0,0,0,0,3,25,0,0,1,0,0,0,0,2,0,0,2,4,0,1,0,9,5,1,0,0,39,0,0,0,0,0,0,0,0,0,0,31315
crowdsourcing for reference correspondence.pdf.txt,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,18,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3445
crowdsourcing genomic analyses.pdf.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1877
crowdsourcing harnessing the masses to advance health and medicine.pdf.txt,1,27,0,0,1,0,0,0,63,0,0,0,0,0,2,0,1,0,2,0,2,0,0,2,0,5,1,0,0,0,0,0,114,2,0,1,0,0,0,1,3,0,0,0,0,1,0,1,1,0,0,0,1,0,1,34,1,0,0,3,0,0,6,0,0,4,2,0,0,3,0,1,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,7745
crowdsourcing image annotation for nucleus.pdf.txt,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33,0,4,5,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,16,0,0,0,0,0,0,0,0,0,0,4863
crowdsourcing knowledge discovery.txt,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2774
Crowdsourcing Malaria Parasite Quantification.txt,1,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,15,0,0,0,1,0,0,11,2,0,0,0,0,0,6,5,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,9,0,0,0,0,2,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,4201
crowdsourcing medical expertise in near real time.txt,0,4,0,0,0,1,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4198
crowdsourcing medical research.pdf.txt,0,2,0,0,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1889
crowdsourcing natural products discovery.pdf.txt,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4104
crowdsourcing novel childhood predictors.pdf.txt,1,5,0,0,0,0,0,2,20,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,66,1,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,1,0,0,0,0,0,0,0,10634
crowdsourcing participatory evaluation.txt,0,19,0,0,0,1,0,0,10,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,5,0,0,3,0,0,0,0,3,0,0,3709
crowdsourcing public health experiments.txt,1,1,0,0,0,0,0,1,45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,44,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,7824
crowdsourcing solutions to global problems.pdf.txt,0,2,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,83,0,0,2,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,4,1,0,0,0,0,0,19,6,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,12017
crowdsourcing taste research.pdf.txt,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5170
crowdsourcing the verification of relationships in biomedical ontologies.pdf.txt,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,28,5,0,0,0,0,0,0,0,0,0,0,0,0,34,2,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0,5048
cryptic species of hairwork.pdf.txt,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6731
data privacy and ethical uses of volunteered.pdf.txt,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4174
development and evaluation of a crowdsourcing.pdf.txt,1,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,5053
development of a clinician reputation metric.pdf.txt,3,0,0,0,0,2,0,0,13,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,5301
discovering health topics in social media.pdf.txt,0,17,0,1,0,0,1,0,65,0,0,0,0,13,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,7,0,0,0,0,1,0,1,1,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,12,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,8311
disentangling public participation.pdf.txt,2,1,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,16,0,0,0,22,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10752
distributed human intelligence for colonic.pdf.txt,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7784
distributed medical image analysis.pdf.txt,0,0,0,0,0,0,0,0,4,0,0,0,0,0,15,0,0,0,21,0,8,3,0,0,0,59,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,6695
dizeez an online game for human.pdf.txt,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3524
enhancement of copd biological.pdf.txt,2,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,4,0,0,0,0,0,0,15,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,12783
evaluation of a novel conjunctive.txt,4,11,0,1,0,1,0,2,62,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,3,0,0,1,0,0,0,0,0,0,0,6077
evolution of crowdsourcing potential data protection.pdf.txt,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,171,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,6784
extracting physician group intelligence.pdf.txt,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5887
factors related to sustained.txt,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,6255
foodswitch a mobile phone app.txt,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4433
formative evaluation of the accuracy.pdf.txt,0,2,0,1,0,0,0,2,12,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,7070
from citizen science to do it yourself science.pdf.txt,1,20,0,0,0,0,0,0,58,0,0,0,0,0,2,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,12,1,0,7,0,0,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,282,1,0,0,2,0,0,2,0,4,3,1,0,0,7,0,0,2,0,0,0,0,0,0,0,29519
from sensor to observation web.pdf.txt,0,3,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13229
genetic gatekeepers regulating direct to.pdf.txt,3,5,0,0,4,0,0,1,91,0,0,0,0,0,0,0,0,2,4,0,2,0,0,0,0,8,0,2,0,0,0,0,3,1,0,1,0,0,0,51,63,0,0,0,0,0,0,0,0,0,0,0,0,0,19,116,0,1,0,0,0,0,3,0,0,0,1,0,3,1,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,25353
geo awareness geoenablement geotechnologies.pdf.txt,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5364
geographic information science as a miltidisciplinary.pdf.txt,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13470
global mapping of infectious disease.pdf.txt,1,1,0,0,0,0,1,0,43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,7,0,0,1,0,0,0,0,112,0,1,0,5,0,0,0,0,0,0,0,0,0,92,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,9841
harnessing the power of crowds crowdsourcing.pdf.txt,2,2,0,0,0,0,0,3,7,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,42,0,0,4,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,37,0,0,0,0,0,0,0,0,0,0,7682
health 205 the realization.pdf.txt,1,0,0,0,3,0,0,2,291,0,0,0,0,1,0,0,1,0,7,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,4,0,0,1,2,25,0,0,0,2,0,0,0,0,0,0,0,0,0,3,24,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,8,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,12353
health care transformation.txt,2,0,0,0,0,0,0,1,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5203
hybrid curation of gene mutation relations.pdf.txt,1,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,6,0,0,0,0,0,0,20,20,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,37,3,0,0,0,0,1,5,0,8753
i like it when my partner holds my hand.pdf.txt,0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,11,0,0,0,9,0,8,0,0,0,0,0,0,0,0,0,0,0,16232
identifying medical terms in patient authored text.txt,0,0,0,0,4,1,0,1,23,0,0,2,0,0,0,0,0,1,12,0,0,9,0,0,0,1,0,1,0,0,0,0,7,0,0,0,0,0,12,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,60,0,0,0,1,0,0,0,0,1,0,3,2,0,4,0,1,2,0,0,0,1,0,16,0,0,0,0,0,1,1,0,5840
improving breast cancer survival analysis.pdf.txt,0,0,1,0,0,1,0,0,2,0,0,1,0,0,2,0,0,1,52,0,3,0,0,0,0,4,0,0,0,0,0,0,2,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13474
increasing patient engagement in rehabilitation exercises.pdf.txt,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8992
industrial methodology for process verification in research.txt,0,0,0,0,0,1,3,0,0,0,0,0,0,0,12,0,0,3,15,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,2,0,10,0,0,0,0,0,0,5,5,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,1,0,7964
inferring gene expression from ribosomal.pdf.txt,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7504
integrated spatial analysis of volunteered geographic.pdf.txt,0,6,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,40,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23704
international research roadmap on ict.pdf.txt,6,6,0,4,0,0,2,4,29,0,0,0,0,0,0,0,3,19,12,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,5,0,0,0,0,7,0,0,0,1,0,0,8,8,0,0,0,1,0,1,5,0,2,0,0,0,0,0,0,0,0,4,2,0,34,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,37859
internet based crowdsourcing and research.pdf.txt,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4025
interpoll crowdsourced internet polls.pdf.txt,0,64,0,0,0,2,0,6,11,0,0,0,0,0,15,0,1,0,3,1,14,1,0,0,0,0,0,2,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,2,42,0,1,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,11566
introduction to socialradio case.pdf.txt,0,4,0,0,0,0,0,0,8,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,4529
investigating the congruence.txt,0,1,0,0,1,0,2,0,70,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,4544
is there a doctor in the crowd.pdf.txt,1,3,0,1,3,0,0,0,52,0,0,0,0,2,1,0,0,0,1,1,1,1,0,0,0,95,0,0,0,0,0,0,30,1,0,13,0,0,0,0,9,0,0,0,1,0,0,1,1,0,0,0,0,0,11,101,0,0,0,1,0,0,0,1,1,1,0,0,15,0,0,2,0,0,0,0,3,0,1,2,0,0,0,0,0,1,0,10866
learning by aggregating.txt,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,8,0,1,1,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5068
learning fron outdoor webcams surveillance.pdf.txt,0,1,0,0,0,0,0,2,44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,22,1,0,1,0,0,10,0,0,1,1,1,0,1,0,0,0,0,0,0,0,7752
lessons learned about public health.txt,0,14,0,0,0,0,0,0,81,0,0,0,0,0,11,0,1,2,0,0,4,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,18,0,0,0,1,0,0,1,1,0,0,0,0,0,5,22,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6027
load balancing at emergency departments.pdf.txt,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,9009
many can work better than the best.pdf.txt,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,40,0,0,0,0,0,0,25,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,4703
measuring information acquisition.pdf.txt,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,1,0,3,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,2,11,0,3,0,0,0,0,0,0,1,0,6460
method paper distance and travel.pdf.txt,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4323
methodological considerations in analyzing.pdf.txt,0,5,0,2,0,0,1,0,17,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4606
